TuningDataset,Fold,Partition,Phenotype,Pearson_Coefficient,alpha,L1_ratio
Govaere,Fold1,Train,Fibrosis,0.8836903632323522,1.0,0.05
Govaere,Fold1,Train,NAS,0.9139721577596049,1.0,0.05
Govaere,Fold1,Train,Combined,0.8988312604959778,1.0,0.05
Govaere,Fold1,Validation,Fibrosis,0.8154810250071,1.0,0.05
Govaere,Fold1,Validation,NAS,0.6849531389207997,1.0,0.05
Govaere,Fold1,Validation,Combined,0.7502170819639498,1.0,0.05
Govaere,Fold1,Hoang,Fibrosis,0.618844911138951,1.0,0.05
Govaere,Fold1,Hoang,NAS,0.7071894841464794,1.0,0.05
Govaere,Fold1,Hoang,Combined,0.6630171976427155,1.0,0.05
Govaere,Fold1,Pantano,Fibrosis,0.6540188874611941,1.0,0.05
Govaere,Fold1,Pantano,NAS,0.6290927503840615,1.0,0.05
Govaere,Fold1,Pantano,Combined,0.6415558189226277,1.0,0.05
Govaere,Fold1,Shuffled,Fibrosis,-0.14426822972501957,1.0,0.05
Govaere,Fold1,Shuffled,NAS,-0.1021961925963256,1.0,0.05
Govaere,Fold1,Shuffled,Combined,-0.12323221116067265,1.0,0.05
Govaere,Fold2,Train,Fibrosis,0.873298164644783,1.0,0.05
Govaere,Fold2,Train,NAS,0.916287233624604,1.0,0.05
Govaere,Fold2,Train,Combined,0.8947926991346935,1.0,0.05
Govaere,Fold2,Validation,Fibrosis,0.8386744431996812,1.0,0.05
Govaere,Fold2,Validation,NAS,0.8451743252612731,1.0,0.05
Govaere,Fold2,Validation,Combined,0.8419243842304773,1.0,0.05
Govaere,Fold2,Hoang,Fibrosis,0.5893199552352082,1.0,0.05
Govaere,Fold2,Hoang,NAS,0.7277520268364915,1.0,0.05
Govaere,Fold2,Hoang,Combined,0.6585359910358497,1.0,0.05
Govaere,Fold2,Pantano,Fibrosis,0.6334564661626454,1.0,0.05
Govaere,Fold2,Pantano,NAS,0.6285766541341362,1.0,0.05
Govaere,Fold2,Pantano,Combined,0.631016560148391,1.0,0.05
Govaere,Fold2,Shuffled,Fibrosis,-0.10771055098853732,1.0,0.05
Govaere,Fold2,Shuffled,NAS,-0.028051313035695177,1.0,0.05
Govaere,Fold2,Shuffled,Combined,-0.06788093201211624,1.0,0.05
Govaere,Fold3,Train,Fibrosis,0.8795518687390738,1.0,0.05
Govaere,Fold3,Train,NAS,0.9159895711667161,1.0,0.05
Govaere,Fold3,Train,Combined,0.8977707199528954,1.0,0.05
Govaere,Fold3,Validation,Fibrosis,0.706757825114544,1.0,0.05
Govaere,Fold3,Validation,NAS,0.7368832301138697,1.0,0.05
Govaere,Fold3,Validation,Combined,0.7218205276142068,1.0,0.05
Govaere,Fold3,Hoang,Fibrosis,0.6235967222633795,1.0,0.05
Govaere,Fold3,Hoang,NAS,0.7041440182099166,1.0,0.05
Govaere,Fold3,Hoang,Combined,0.663870370236648,1.0,0.05
Govaere,Fold3,Pantano,Fibrosis,0.6774272658790692,1.0,0.05
Govaere,Fold3,Pantano,NAS,0.624072989986431,1.0,0.05
Govaere,Fold3,Pantano,Combined,0.6507501279327504,1.0,0.05
Govaere,Fold3,Shuffled,Fibrosis,-0.10706567319549731,1.0,0.05
Govaere,Fold3,Shuffled,NAS,-0.0779372212039755,1.0,0.05
Govaere,Fold3,Shuffled,Combined,-0.09250144719973638,1.0,0.05
Govaere,Fold4,Train,Fibrosis,0.8889595555177114,1.0,0.05
Govaere,Fold4,Train,NAS,0.922015360524274,1.0,0.05
Govaere,Fold4,Train,Combined,0.905487458020993,1.0,0.05
Govaere,Fold4,Validation,Fibrosis,0.7071035996618914,1.0,0.05
Govaere,Fold4,Validation,NAS,0.5909774640353862,1.0,0.05
Govaere,Fold4,Validation,Combined,0.6490405318486387,1.0,0.05
Govaere,Fold4,Hoang,Fibrosis,0.6073097939914407,1.0,0.05
Govaere,Fold4,Hoang,NAS,0.7183655223284627,1.0,0.05
Govaere,Fold4,Hoang,Combined,0.6628376581599515,1.0,0.05
Govaere,Fold4,Pantano,Fibrosis,0.6516879719424691,1.0,0.05
Govaere,Fold4,Pantano,NAS,0.5843982084611723,1.0,0.05
Govaere,Fold4,Pantano,Combined,0.6180430902018206,1.0,0.05
Govaere,Fold4,Shuffled,Fibrosis,-0.08672062305874761,1.0,0.05
Govaere,Fold4,Shuffled,NAS,-0.06425106220198282,1.0,0.05
Govaere,Fold4,Shuffled,Combined,-0.07548584263036523,1.0,0.05
Govaere,Fold5,Train,Fibrosis,0.8893024547899501,1.0,0.05
Govaere,Fold5,Train,NAS,0.9206451641847686,1.0,0.05
Govaere,Fold5,Train,Combined,0.9049738094873593,1.0,0.05
Govaere,Fold5,Validation,Fibrosis,0.5860505583591814,1.0,0.05
Govaere,Fold5,Validation,NAS,0.4997867446006656,1.0,0.05
Govaere,Fold5,Validation,Combined,0.5429186514799236,1.0,0.05
Govaere,Fold5,Hoang,Fibrosis,0.6047674747905647,1.0,0.05
Govaere,Fold5,Hoang,NAS,0.7247202645476944,1.0,0.05
Govaere,Fold5,Hoang,Combined,0.6647438696691295,1.0,0.05
Govaere,Fold5,Pantano,Fibrosis,0.6709675831105757,1.0,0.05
Govaere,Fold5,Pantano,NAS,0.5788445076093052,1.0,0.05
Govaere,Fold5,Pantano,Combined,0.6249060453599402,1.0,0.05
Govaere,Fold5,Shuffled,Fibrosis,-0.08102121540150539,1.0,0.05
Govaere,Fold5,Shuffled,NAS,-0.11738259728702709,1.0,0.05
Govaere,Fold5,Shuffled,Combined,-0.09920190634426623,1.0,0.05
Govaere,Fold6,Train,Fibrosis,0.8776640513954604,1.0,0.05
Govaere,Fold6,Train,NAS,0.914272697397068,1.0,0.05
Govaere,Fold6,Train,Combined,0.8959683743962645,1.0,0.05
Govaere,Fold6,Validation,Fibrosis,0.7321688997715791,1.0,0.05
Govaere,Fold6,Validation,NAS,0.8476015115570041,1.0,0.05
Govaere,Fold6,Validation,Combined,0.7898852056642915,1.0,0.05
Govaere,Fold6,Hoang,Fibrosis,0.6159427035070146,1.0,0.05
Govaere,Fold6,Hoang,NAS,0.7012880360608603,1.0,0.05
Govaere,Fold6,Hoang,Combined,0.6586153697839374,1.0,0.05
Govaere,Fold6,Pantano,Fibrosis,0.6511577894918997,1.0,0.05
Govaere,Fold6,Pantano,NAS,0.6090806371680937,1.0,0.05
Govaere,Fold6,Pantano,Combined,0.6301192133299964,1.0,0.05
Govaere,Fold6,Shuffled,Fibrosis,-0.07178135691533324,1.0,0.05
Govaere,Fold6,Shuffled,NAS,-0.05732503850139381,1.0,0.05
Govaere,Fold6,Shuffled,Combined,-0.06455319770836353,1.0,0.05
Govaere,Fold7,Train,Fibrosis,0.8762278358549281,1.0,0.05
Govaere,Fold7,Train,NAS,0.918689099526093,1.0,0.05
Govaere,Fold7,Train,Combined,0.8974584676905111,1.0,0.05
Govaere,Fold7,Validation,Fibrosis,0.7832932849614178,1.0,0.05
Govaere,Fold7,Validation,NAS,0.5463186746025157,1.0,0.05
Govaere,Fold7,Validation,Combined,0.6648059797819669,1.0,0.05
Govaere,Fold7,Hoang,Fibrosis,0.6102192030728123,1.0,0.05
Govaere,Fold7,Hoang,NAS,0.7126098984146673,1.0,0.05
Govaere,Fold7,Hoang,Combined,0.6614145507437398,1.0,0.05
Govaere,Fold7,Pantano,Fibrosis,0.622622682566798,1.0,0.05
Govaere,Fold7,Pantano,NAS,0.6390199298201686,1.0,0.05
Govaere,Fold7,Pantano,Combined,0.6308213061934831,1.0,0.05
Govaere,Fold7,Shuffled,Fibrosis,-0.0685876801179298,1.0,0.05
Govaere,Fold7,Shuffled,NAS,-0.08781392169568294,1.0,0.05
Govaere,Fold7,Shuffled,Combined,-0.0782008009068064,1.0,0.05
Govaere,Fold8,Train,Fibrosis,0.8782222862670154,1.0,0.05
Govaere,Fold8,Train,NAS,0.9198718120783291,1.0,0.05
Govaere,Fold8,Train,Combined,0.8990470491726724,1.0,0.05
Govaere,Fold8,Validation,Fibrosis,0.7812995063723386,1.0,0.05
Govaere,Fold8,Validation,NAS,0.4973328732069529,1.0,0.05
Govaere,Fold8,Validation,Combined,0.6393161897896457,1.0,0.05
Govaere,Fold8,Hoang,Fibrosis,0.6231748141333403,1.0,0.05
Govaere,Fold8,Hoang,NAS,0.6903417840463831,1.0,0.05
Govaere,Fold8,Hoang,Combined,0.6567582990898617,1.0,0.05
Govaere,Fold8,Pantano,Fibrosis,0.651596926077509,1.0,0.05
Govaere,Fold8,Pantano,NAS,0.6332495762347102,1.0,0.05
Govaere,Fold8,Pantano,Combined,0.6424232511561098,1.0,0.05
Govaere,Fold8,Shuffled,Fibrosis,-0.10498409170826185,1.0,0.05
Govaere,Fold8,Shuffled,NAS,-0.07621133321569004,1.0,0.05
Govaere,Fold8,Shuffled,Combined,-0.09059771246197593,1.0,0.05
Govaere,Fold9,Train,Fibrosis,0.8880660520339418,1.0,0.05
Govaere,Fold9,Train,NAS,0.9184084055104668,1.0,0.05
Govaere,Fold9,Train,Combined,0.9032372287722037,1.0,0.05
Govaere,Fold9,Validation,Fibrosis,0.6484611896459037,1.0,0.05
Govaere,Fold9,Validation,NAS,0.6356317229451852,1.0,0.05
Govaere,Fold9,Validation,Combined,0.6420464562955444,1.0,0.05
Govaere,Fold9,Hoang,Fibrosis,0.6412268291558548,1.0,0.05
Govaere,Fold9,Hoang,NAS,0.7209177782708964,1.0,0.05
Govaere,Fold9,Hoang,Combined,0.6810723037133757,1.0,0.05
Govaere,Fold9,Pantano,Fibrosis,0.6530991554075016,1.0,0.05
Govaere,Fold9,Pantano,NAS,0.621650728813333,1.0,0.05
Govaere,Fold9,Pantano,Combined,0.6373749421104171,1.0,0.05
Govaere,Fold9,Shuffled,Fibrosis,-0.07992034791870498,1.0,0.05
Govaere,Fold9,Shuffled,NAS,-0.06247826406891146,1.0,0.05
Govaere,Fold9,Shuffled,Combined,-0.0711993059938082,1.0,0.05
Govaere,Fold10,Train,Fibrosis,0.8809218891321758,1.0,0.05
Govaere,Fold10,Train,NAS,0.9140458356707686,1.0,0.05
Govaere,Fold10,Train,Combined,0.8974838624014714,1.0,0.05
Govaere,Fold10,Validation,Fibrosis,0.7289457719352129,1.0,0.05
Govaere,Fold10,Validation,NAS,0.8246870808405516,1.0,0.05
Govaere,Fold10,Validation,Combined,0.7768164263878823,1.0,0.05
Govaere,Fold10,Hoang,Fibrosis,0.5890285670546629,1.0,0.05
Govaere,Fold10,Hoang,NAS,0.6996666020416177,1.0,0.05
Govaere,Fold10,Hoang,Combined,0.6443475845481403,1.0,0.05
Govaere,Fold10,Pantano,Fibrosis,0.6333698487156063,1.0,0.05
Govaere,Fold10,Pantano,NAS,0.5805062807708983,1.0,0.05
Govaere,Fold10,Pantano,Combined,0.6069380647432525,1.0,0.05
Govaere,Fold10,Shuffled,Fibrosis,-0.07157712625130526,1.0,0.05
Govaere,Fold10,Shuffled,NAS,-0.09751499441399474,1.0,0.05
Govaere,Fold10,Shuffled,Combined,-0.08454606033265002,1.0,0.05
Hoang,Fold1,Train,Fibrosis,0.9999999313183783,0.001,0.05
Hoang,Fold1,Train,NAS,0.9999999657915268,0.001,0.05
Hoang,Fold1,Train,Combined,0.999999948554952,0.001,0.05
Hoang,Fold1,Validation,Fibrosis,0.9059589416531073,0.001,0.05
Hoang,Fold1,Validation,NAS,-0.012408617522974175,0.001,0.05
Hoang,Fold1,Validation,Combined,0.4467751620650664,0.001,0.05
Hoang,Fold1,Govaere,Fibrosis,0.3533978251399024,0.001,0.05
Hoang,Fold1,Govaere,NAS,0.5339509042909394,0.001,0.05
Hoang,Fold1,Govaere,Combined,0.44367436471542077,0.001,0.05
Hoang,Fold1,Pantano,Fibrosis,0.32554815797593695,0.001,0.05
Hoang,Fold1,Pantano,NAS,0.4114173698028609,0.001,0.05
Hoang,Fold1,Pantano,Combined,0.3684827638893988,0.001,0.05
Hoang,Fold1,Shuffled,Fibrosis,-0.07902193004814802,0.001,0.05
Hoang,Fold1,Shuffled,NAS,-0.1030924933336461,0.001,0.05
Hoang,Fold1,Shuffled,Combined,-0.09105721169089706,0.001,0.05
Hoang,Fold2,Train,Fibrosis,0.9999999275051541,0.001,0.05
Hoang,Fold2,Train,NAS,0.9999999565835167,0.001,0.05
Hoang,Fold2,Train,Combined,0.999999942044335,0.001,0.05
Hoang,Fold2,Validation,Fibrosis,0.9627865657462422,0.001,0.05
Hoang,Fold2,Validation,NAS,0.6280056675261032,0.001,0.05
Hoang,Fold2,Validation,Combined,0.7953961166361727,0.001,0.05
Hoang,Fold2,Govaere,Fibrosis,0.40215459102593043,0.001,0.05
Hoang,Fold2,Govaere,NAS,0.5636817407555723,0.001,0.05
Hoang,Fold2,Govaere,Combined,0.48291816589075115,0.001,0.05
Hoang,Fold2,Pantano,Fibrosis,0.3235807990274494,0.001,0.05
Hoang,Fold2,Pantano,NAS,0.523120004088956,0.001,0.05
Hoang,Fold2,Pantano,Combined,0.423350401558203,0.001,0.05
Hoang,Fold2,Shuffled,Fibrosis,-0.00977810155334253,0.001,0.05
Hoang,Fold2,Shuffled,NAS,-0.040989666595645124,0.001,0.05
Hoang,Fold2,Shuffled,Combined,-0.025383884074493816,0.001,0.05
Hoang,Fold3,Train,Fibrosis,0.9999999440988742,0.001,0.05
Hoang,Fold3,Train,NAS,0.9999999601266343,0.001,0.05
Hoang,Fold3,Train,Combined,0.9999999521127538,0.001,0.05
Hoang,Fold3,Validation,Fibrosis,0.8106387791973653,0.001,0.05
Hoang,Fold3,Validation,NAS,0.9115290100899416,0.001,0.05
Hoang,Fold3,Validation,Combined,0.8610838946436534,0.001,0.05
Hoang,Fold3,Govaere,Fibrosis,0.3595563715936183,0.001,0.05
Hoang,Fold3,Govaere,NAS,0.5823540904631701,0.001,0.05
Hoang,Fold3,Govaere,Combined,0.470955231028394,0.001,0.05
Hoang,Fold3,Pantano,Fibrosis,0.29336237433809975,0.001,0.05
Hoang,Fold3,Pantano,NAS,0.5455756132291079,0.001,0.05
Hoang,Fold3,Pantano,Combined,0.4194689937836038,0.001,0.05
Hoang,Fold3,Shuffled,Fibrosis,-0.10440324492808857,0.001,0.05
Hoang,Fold3,Shuffled,NAS,-0.02653221816368912,0.001,0.05
Hoang,Fold3,Shuffled,Combined,-0.06546773154588886,0.001,0.05
Hoang,Fold4,Train,Fibrosis,0.9999999287323196,0.001,0.05
Hoang,Fold4,Train,NAS,0.9999999575836145,0.001,0.05
Hoang,Fold4,Train,Combined,0.999999943157967,0.001,0.05
Hoang,Fold4,Validation,Fibrosis,0.40174753452692685,0.001,0.05
Hoang,Fold4,Validation,NAS,0.8970544303507553,0.001,0.05
Hoang,Fold4,Validation,Combined,0.6494009824388411,0.001,0.05
Hoang,Fold4,Govaere,Fibrosis,0.4269136586525919,0.001,0.05
Hoang,Fold4,Govaere,NAS,0.5775082090197311,0.001,0.05
Hoang,Fold4,Govaere,Combined,0.5022109338361616,0.001,0.05
Hoang,Fold4,Pantano,Fibrosis,0.3543422966876033,0.001,0.05
Hoang,Fold4,Pantano,NAS,0.5233515849005799,0.001,0.05
Hoang,Fold4,Pantano,Combined,0.4388469407940917,0.001,0.05
Hoang,Fold4,Shuffled,Fibrosis,-0.07255238826964878,0.001,0.05
Hoang,Fold4,Shuffled,NAS,0.03445844525458359,0.001,0.05
Hoang,Fold4,Shuffled,Combined,-0.01904697150753266,0.001,0.05
Hoang,Fold5,Train,Fibrosis,0.9999999158951632,0.001,0.05
Hoang,Fold5,Train,NAS,0.9999999459446252,0.001,0.05
Hoang,Fold5,Train,Combined,0.9999999309198946,0.001,0.05
Hoang,Fold5,Validation,Fibrosis,0.7015677720787623,0.001,0.05
Hoang,Fold5,Validation,NAS,0.6346412299789415,0.001,0.05
Hoang,Fold5,Validation,Combined,0.668104501028852,0.001,0.05
Hoang,Fold5,Govaere,Fibrosis,0.3180144739934965,0.001,0.05
Hoang,Fold5,Govaere,NAS,0.5461483445673311,0.001,0.05
Hoang,Fold5,Govaere,Combined,0.43208140928041383,0.001,0.05
Hoang,Fold5,Pantano,Fibrosis,0.31345262507860194,0.001,0.05
Hoang,Fold5,Pantano,NAS,0.46632436025290763,0.001,0.05
Hoang,Fold5,Pantano,Combined,0.389888492665755,0.001,0.05
Hoang,Fold5,Shuffled,Fibrosis,-0.07948366332739913,0.001,0.05
