TuningDataset,Fold,Partition,Phenotype,Pearson_Coefficient,alpha,L1_ratio
Hoang,Fold5,Shuffled,NAS,0.003468173784220532,0.001,0.05
Hoang,Fold5,Shuffled,Combined,-0.03800774477158931,0.001,0.05
Hoang,Fold6,Train,Fibrosis,0.9999999291475217,0.001,0.05
Hoang,Fold6,Train,NAS,0.9999999536861909,0.001,0.05
Hoang,Fold6,Train,Combined,0.9999999414168566,0.001,0.05
Hoang,Fold6,Validation,Fibrosis,0.23103904194570107,0.001,0.05
Hoang,Fold6,Validation,NAS,0.7421889380013171,0.001,0.05
Hoang,Fold6,Validation,Combined,0.4866139899735092,0.001,0.05
Hoang,Fold6,Govaere,Fibrosis,0.49248027869919636,0.001,0.05
Hoang,Fold6,Govaere,NAS,0.5644899225115396,0.001,0.05
Hoang,Fold6,Govaere,Combined,0.5284851006053678,0.001,0.05
Hoang,Fold6,Pantano,Fibrosis,0.37066572061784253,0.001,0.05
Hoang,Fold6,Pantano,NAS,0.4786729181566751,0.001,0.05
Hoang,Fold6,Pantano,Combined,0.4246693193872585,0.001,0.05
Hoang,Fold6,Shuffled,Fibrosis,-0.036231464442040104,0.001,0.05
Hoang,Fold6,Shuffled,NAS,-0.006990644141711669,0.001,0.05
Hoang,Fold6,Shuffled,Combined,-0.02161105429187584,0.001,0.05
Hoang,Fold7,Train,Fibrosis,0.9999999390451255,0.001,0.05
Hoang,Fold7,Train,NAS,0.9999999545049505,0.001,0.05
Hoang,Fold7,Train,Combined,0.9999999467750382,0.001,0.05
Hoang,Fold7,Validation,Fibrosis,0.7189320646146968,0.001,0.05
Hoang,Fold7,Validation,NAS,0.7934263706095134,0.001,0.05
Hoang,Fold7,Validation,Combined,0.7561792176121052,0.001,0.05
Hoang,Fold7,Govaere,Fibrosis,0.3393319596811275,0.001,0.05
Hoang,Fold7,Govaere,NAS,0.5384306815500712,0.001,0.05
Hoang,Fold7,Govaere,Combined,0.43888132061559926,0.001,0.05
Hoang,Fold7,Pantano,Fibrosis,0.27354962473533073,0.001,0.05
Hoang,Fold7,Pantano,NAS,0.5404292816736185,0.001,0.05
Hoang,Fold7,Pantano,Combined,0.40698945320447466,0.001,0.05
Hoang,Fold7,Shuffled,Fibrosis,-0.11520636208121199,0.001,0.05
Hoang,Fold7,Shuffled,NAS,-0.01799529639019499,0.001,0.05
Hoang,Fold7,Shuffled,Combined,-0.06660082923570347,0.001,0.05
Hoang,Fold8,Train,Fibrosis,0.9999999267398196,0.001,0.05
Hoang,Fold8,Train,NAS,0.9999999537796656,0.001,0.05
Hoang,Fold8,Train,Combined,0.9999999402597431,0.001,0.05
Hoang,Fold8,Validation,Fibrosis,0.6963711023092967,0.001,0.05
Hoang,Fold8,Validation,NAS,0.8623282578102368,0.001,0.05
Hoang,Fold8,Validation,Combined,0.7793496800597668,0.001,0.05
Hoang,Fold8,Govaere,Fibrosis,0.36265671186156945,0.001,0.05
Hoang,Fold8,Govaere,NAS,0.5421960468373058,0.001,0.05
Hoang,Fold8,Govaere,Combined,0.45242637934943764,0.001,0.05
Hoang,Fold8,Pantano,Fibrosis,0.27409171420404266,0.001,0.05
Hoang,Fold8,Pantano,NAS,0.5064464658049054,0.001,0.05
Hoang,Fold8,Pantano,Combined,0.3902690900044743,0.001,0.05
Hoang,Fold8,Shuffled,Fibrosis,-0.1567711428133162,0.001,0.05
Hoang,Fold8,Shuffled,NAS,-0.07369039245205128,0.001,0.05
Hoang,Fold8,Shuffled,Combined,-0.11523076763268375,0.001,0.05
Hoang,Fold9,Train,Fibrosis,0.9999999248453293,0.001,0.05
Hoang,Fold9,Train,NAS,0.9999999560901999,0.001,0.05
Hoang,Fold9,Train,Combined,0.9999999404677649,0.001,0.05
Hoang,Fold9,Validation,Fibrosis,0.688672320815507,0.001,0.05
Hoang,Fold9,Validation,NAS,0.6806689172571001,0.001,0.05
Hoang,Fold9,Validation,Combined,0.6846706190363037,0.001,0.05
Hoang,Fold9,Govaere,Fibrosis,0.42410415907206933,0.001,0.05
Hoang,Fold9,Govaere,NAS,0.590244678690423,0.001,0.05
Hoang,Fold9,Govaere,Combined,0.5071744188812463,0.001,0.05
Hoang,Fold9,Pantano,Fibrosis,0.3322493485868607,0.001,0.05
Hoang,Fold9,Pantano,NAS,0.5036097607235149,0.001,0.05
Hoang,Fold9,Pantano,Combined,0.41792955465518783,0.001,0.05
Hoang,Fold9,Shuffled,Fibrosis,-0.09810467298907556,0.001,0.05
Hoang,Fold9,Shuffled,NAS,-0.0427390257425933,0.001,0.05
Hoang,Fold9,Shuffled,Combined,-0.07042184936583448,0.001,0.05
Hoang,Fold10,Train,Fibrosis,0.9999999287461132,0.001,0.05
Hoang,Fold10,Train,NAS,0.9999999510545055,0.001,0.05
Hoang,Fold10,Train,Combined,0.9999999399003091,0.001,0.05
Hoang,Fold10,Validation,Fibrosis,0.6742886716826443,0.001,0.05
Hoang,Fold10,Validation,NAS,0.7506942828279687,0.001,0.05
Hoang,Fold10,Validation,Combined,0.7124914772553066,0.001,0.05
Hoang,Fold10,Govaere,Fibrosis,0.3561967591654025,0.001,0.05
Hoang,Fold10,Govaere,NAS,0.5583676560597141,0.001,0.05
Hoang,Fold10,Govaere,Combined,0.45728220761255833,0.001,0.05
Hoang,Fold10,Pantano,Fibrosis,0.31200811881305324,0.001,0.05
Hoang,Fold10,Pantano,NAS,0.522789566702225,0.001,0.05
Hoang,Fold10,Pantano,Combined,0.41739884275763917,0.001,0.05
Hoang,Fold10,Shuffled,Fibrosis,-0.09618886580015912,0.001,0.05
Hoang,Fold10,Shuffled,NAS,-0.061678858201754984,0.001,0.05
Hoang,Fold10,Shuffled,Combined,-0.07893386200095708,0.001,0.05
Pantano,Fold1,Train,Fibrosis,0.9055595657191502,0.1,1.0
Pantano,Fold1,Train,NAS,0.9741802031069478,0.1,1.0
Pantano,Fold1,Train,Combined,0.9398698844130491,0.1,1.0
Pantano,Fold1,Validation,Fibrosis,0.16798419640035783,0.1,1.0
Pantano,Fold1,Validation,NAS,0.47280563041363965,0.1,1.0
Pantano,Fold1,Validation,Combined,0.32039491340699877,0.1,1.0
Pantano,Fold1,Govaere,Fibrosis,0.6108285392187497,0.1,1.0
Pantano,Fold1,Govaere,NAS,0.6172281245039458,0.1,1.0
Pantano,Fold1,Govaere,Combined,0.6140283318613475,0.1,1.0
Pantano,Fold1,Hoang,Fibrosis,0.5632463422713445,0.1,1.0
Pantano,Fold1,Hoang,NAS,0.6998812303002031,0.1,1.0
Pantano,Fold1,Hoang,Combined,0.6315637862857738,0.1,1.0
Pantano,Fold1,Shuffled,Fibrosis,-0.03623926445754826,0.1,1.0
Pantano,Fold1,Shuffled,NAS,0.012892065073373128,0.1,1.0
Pantano,Fold1,Shuffled,Combined,-0.011673599692087587,0.1,1.0
Pantano,Fold2,Train,Fibrosis,0.9034712300060888,0.1,1.0
Pantano,Fold2,Train,NAS,0.9709786810651317,0.1,1.0
Pantano,Fold2,Train,Combined,0.9372249555356105,0.1,1.0
Pantano,Fold2,Validation,Fibrosis,0.6817671455138189,0.1,1.0
Pantano,Fold2,Validation,NAS,0.570647038487444,0.1,1.0
Pantano,Fold2,Validation,Combined,0.6262070920006315,0.1,1.0
Pantano,Fold2,Govaere,Fibrosis,0.6237135881546888,0.1,1.0
Pantano,Fold2,Govaere,NAS,0.578521841353877,0.1,1.0
Pantano,Fold2,Govaere,Combined,0.6011177147542826,0.1,1.0
Pantano,Fold2,Hoang,Fibrosis,0.5016506974323446,0.1,1.0
Pantano,Fold2,Hoang,NAS,0.6678636821600897,0.1,1.0
Pantano,Fold2,Hoang,Combined,0.5847571897962174,0.1,1.0
Pantano,Fold2,Shuffled,Fibrosis,-0.004825758186031474,0.1,1.0
Pantano,Fold2,Shuffled,NAS,0.029569267539600166,0.1,1.0
Pantano,Fold2,Shuffled,Combined,0.012371754676784325,0.1,1.0
Pantano,Fold3,Train,Fibrosis,0.8911776095776949,0.1,1.0
Pantano,Fold3,Train,NAS,0.9723684811500718,0.1,1.0
Pantano,Fold3,Train,Combined,0.9317730453638833,0.1,1.0
Pantano,Fold3,Validation,Fibrosis,0.8429838919232406,0.1,1.0
Pantano,Fold3,Validation,NAS,0.8098226143338283,0.1,1.0
Pantano,Fold3,Validation,Combined,0.8264032531285346,0.1,1.0
Pantano,Fold3,Govaere,Fibrosis,0.6094653027692813,0.1,1.0
Pantano,Fold3,Govaere,NAS,0.5954965556940655,0.1,1.0
Pantano,Fold3,Govaere,Combined,0.6024809292316735,0.1,1.0
Pantano,Fold3,Hoang,Fibrosis,0.459408716001392,0.1,1.0
Pantano,Fold3,Hoang,NAS,0.6285765784343132,0.1,1.0
Pantano,Fold3,Hoang,Combined,0.5439926472178527,0.1,1.0
Pantano,Fold3,Shuffled,Fibrosis,-0.016210655762435376,0.1,1.0
Pantano,Fold3,Shuffled,NAS,-0.05312099007845853,0.1,1.0
Pantano,Fold3,Shuffled,Combined,-0.03466582292044699,0.1,1.0
Pantano,Fold4,Train,Fibrosis,0.891285614693824,0.1,1.0
Pantano,Fold4,Train,NAS,0.9685098201415852,0.1,1.0
Pantano,Fold4,Train,Combined,0.9298977174177046,0.1,1.0
Pantano,Fold4,Validation,Fibrosis,0.7531511753287792,0.1,1.0
Pantano,Fold4,Validation,NAS,0.8002917316983427,0.1,1.0
Pantano,Fold4,Validation,Combined,0.7767214535135608,0.1,1.0
Pantano,Fold4,Govaere,Fibrosis,0.5439756612100967,0.1,1.0
Pantano,Fold4,Govaere,NAS,0.6206261071949232,0.1,1.0
Pantano,Fold4,Govaere,Combined,0.5823008842025101,0.1,1.0
Pantano,Fold4,Hoang,Fibrosis,0.5370132734965947,0.1,1.0
Pantano,Fold4,Hoang,NAS,0.72805676921527,0.1,1.0
Pantano,Fold4,Hoang,Combined,0.6325350213559325,0.1,1.0
Pantano,Fold4,Shuffled,Fibrosis,-0.11695427399491827,0.1,1.0
Pantano,Fold4,Shuffled,NAS,-0.020607860748476467,0.1,1.0
Pantano,Fold4,Shuffled,Combined,-0.06878106737169737,0.1,1.0
Pantano,Fold5,Train,Fibrosis,0.895550731486249,0.1,1.0
Pantano,Fold5,Train,NAS,0.9698989248375613,0.1,1.0
Pantano,Fold5,Train,Combined,0.9327248281619049,0.1,1.0
Pantano,Fold5,Validation,Fibrosis,0.882557585235779,0.1,1.0
Pantano,Fold5,Validation,NAS,0.526587706469857,0.1,1.0
Pantano,Fold5,Validation,Combined,0.7045726458528181,0.1,1.0
Pantano,Fold5,Govaere,Fibrosis,0.634948764736428,0.1,1.0
Pantano,Fold5,Govaere,NAS,0.6310985666590588,0.1,1.0
Pantano,Fold5,Govaere,Combined,0.6330236656977435,0.1,1.0
Pantano,Fold5,Hoang,Fibrosis,0.5504462620666778,0.1,1.0
Pantano,Fold5,Hoang,NAS,0.6736813437767193,0.1,1.0
Pantano,Fold5,Hoang,Combined,0.6120638029216983,0.1,1.0
Pantano,Fold5,Shuffled,Fibrosis,0.0003723123471920265,0.1,1.0
Pantano,Fold5,Shuffled,NAS,0.06136197720495794,0.1,1.0
Pantano,Fold5,Shuffled,Combined,0.03086714477607501,0.1,1.0
Pantano,Fold6,Train,Fibrosis,0.8929599949184629,0.1,1.0
Pantano,Fold6,Train,NAS,0.9744002643672189,0.1,1.0
Pantano,Fold6,Train,Combined,0.9336801296428416,0.1,1.0
Pantano,Fold6,Validation,Fibrosis,0.836069400937514,0.1,1.0
Pantano,Fold6,Validation,NAS,0.5576120139507303,0.1,1.0
Pantano,Fold6,Validation,Combined,0.6968407074441223,0.1,1.0
Pantano,Fold6,Govaere,Fibrosis,0.5952914216084313,0.1,1.0
Pantano,Fold6,Govaere,NAS,0.5633314770206045,0.1,1.0
Pantano,Fold6,Govaere,Combined,0.579311449314518,0.1,1.0
Pantano,Fold6,Hoang,Fibrosis,0.47436201472499995,0.1,1.0
Pantano,Fold6,Hoang,NAS,0.521590782593697,0.1,1.0
Pantano,Fold6,Hoang,Combined,0.4979763986593486,0.1,1.0
Pantano,Fold6,Shuffled,Fibrosis,-0.057034245339259645,0.1,1.0
Pantano,Fold6,Shuffled,NAS,-0.10726143379729194,0.1,1.0
Pantano,Fold6,Shuffled,Combined,-0.08214783956827579,0.1,1.0
Pantano,Fold7,Train,Fibrosis,0.9007370957109745,0.1,1.0
Pantano,Fold7,Train,NAS,0.9691328356325122,0.1,1.0
Pantano,Fold7,Train,Combined,0.9349349656717434,0.1,1.0
Pantano,Fold7,Validation,Fibrosis,0.37182051623806234,0.1,1.0
Pantano,Fold7,Validation,NAS,0.46722095194907115,0.1,1.0
Pantano,Fold7,Validation,Combined,0.4195207340935668,0.1,1.0
Pantano,Fold7,Govaere,Fibrosis,0.6040047223176385,0.1,1.0
Pantano,Fold7,Govaere,NAS,0.6688455613763798,0.1,1.0
Pantano,Fold7,Govaere,Combined,0.6364251418470084,0.1,1.0
Pantano,Fold7,Hoang,Fibrosis,0.5040564944877663,0.1,1.0
Pantano,Fold7,Hoang,NAS,0.6775358543889592,0.1,1.0
Pantano,Fold7,Hoang,Combined,0.590796174438363,0.1,1.0
Pantano,Fold7,Shuffled,Fibrosis,0.14301876556050852,0.1,1.0
Pantano,Fold7,Shuffled,NAS,-0.047568985004361776,0.1,1.0
Pantano,Fold7,Shuffled,Combined,0.04772489027807339,0.1,1.0
Pantano,Fold8,Train,Fibrosis,0.9004922209057183,0.1,1.0
Pantano,Fold8,Train,NAS,0.9689502149637211,0.1,1.0
Pantano,Fold8,Train,Combined,0.9347212179347191,0.1,1.0
Pantano,Fold8,Validation,Fibrosis,0.8738812094218741,0.1,1.0
Pantano,Fold8,Validation,NAS,0.8518460238420207,0.1,1.0
Pantano,Fold8,Validation,Combined,0.8628636166319474,0.1,1.0
Pantano,Fold8,Govaere,Fibrosis,0.6475796788531059,0.1,1.0
Pantano,Fold8,Govaere,NAS,0.6470212476935538,0.1,1.0
Pantano,Fold8,Govaere,Combined,0.6473004632733301,0.1,1.0
Pantano,Fold8,Hoang,Fibrosis,0.5497482364879405,0.1,1.0
Pantano,Fold8,Hoang,NAS,0.7028576957230853,0.1,1.0
Pantano,Fold8,Hoang,Combined,0.6263029661055131,0.1,1.0
Pantano,Fold8,Shuffled,Fibrosis,-0.03874886540274672,0.1,1.0
Pantano,Fold8,Shuffled,NAS,-0.07780566993558549,0.1,1.0
Pantano,Fold8,Shuffled,Combined,-0.058277267669166105,0.1,1.0
Pantano,Fold9,Train,Fibrosis,0.9078538898657523,0.1,1.0
Pantano,Fold9,Train,NAS,0.9710325848232297,0.1,1.0
Pantano,Fold9,Train,Combined,0.939443237344491,0.1,1.0
Pantano,Fold9,Validation,Fibrosis,0.5904381957525339,0.1,1.0
Pantano,Fold9,Validation,NAS,0.6286406126544479,0.1,1.0
Pantano,Fold9,Validation,Combined,0.609539404203491,0.1,1.0
Pantano,Fold9,Govaere,Fibrosis,0.5727762385610704,0.1,1.0
Pantano,Fold9,Govaere,NAS,0.6206615720338141,0.1,1.0
Pantano,Fold9,Govaere,Combined,0.5967189052974422,0.1,1.0
Pantano,Fold9,Hoang,Fibrosis,0.4161294342677742,0.1,1.0
Pantano,Fold9,Hoang,NAS,0.6576615836395795,0.1,1.0
Pantano,Fold9,Hoang,Combined,0.5368955089536769,0.1,1.0
Pantano,Fold9,Shuffled,Fibrosis,-0.021264657325811613,0.1,1.0
Pantano,Fold9,Shuffled,NAS,0.007314252692107462,0.1,1.0
Pantano,Fold9,Shuffled,Combined,-0.0069752023168520826,0.1,1.0
Pantano,Fold10,Train,Fibrosis,0.9031160166489572,0.1,1.0
Pantano,Fold10,Train,NAS,0.9669865098391158,0.1,1.0
Pantano,Fold10,Train,Combined,0.9350512632440363,0.1,1.0
Pantano,Fold10,Validation,Fibrosis,0.6437258649427411,0.1,1.0
Pantano,Fold10,Validation,NAS,0.7847436148365289,0.1,1.0
Pantano,Fold10,Validation,Combined,0.7142347398896349,0.1,1.0
Pantano,Fold10,Govaere,Fibrosis,0.6233519553654637,0.1,1.0
Pantano,Fold10,Govaere,NAS,0.6288427955260513,0.1,1.0
Pantano,Fold10,Govaere,Combined,0.6260973754457576,0.1,1.0
Pantano,Fold10,Hoang,Fibrosis,0.5495562484427621,0.1,1.0
Pantano,Fold10,Hoang,NAS,0.7214933417324944,0.1,1.0
Pantano,Fold10,Hoang,Combined,0.6355247950876283,0.1,1.0
Pantano,Fold10,Shuffled,Fibrosis,0.029343088673761147,0.1,1.0
Pantano,Fold10,Shuffled,NAS,-0.07831173136615899,0.1,1.0
Pantano,Fold10,Shuffled,Combined,-0.02448432134619888,0.1,1.0
