,NAS,Fibrosis
NAFT18012_P1A1_D14_49_S18,5.251621320389913,1.8945933375225854
NAFT18012_P1A2_D14_50_S21,5.391300547146428,1.7653535241491685
NAFT18012_P1A3_D14_51_S1,4.082906706124745,1.5221923935357582
NAFT18012_P1A4_D14_52_S4,3.5712800037492443,1.4442000431228537
NAFT18012_P1A5_D14_53_S7,4.2078095160172,1.6438990193114966
NAFT18012_P1A6_D14_54_S10,3.7290770027867772,1.6003526732911761
NAFT18013_P1A2_D14_02_S3,4.274777391749125,1.8046950900955296
NAFT18013_P1A3_D14_03_S6,4.373647878722144,1.52963702682257
NAFT18013_P1A4_D14_04_S9,4.016413821591351,1.9374251960517603
NAFT18013_P1A5_D14_05_S12,3.3950336247673283,1.671510903883194
NAFT18013_P1A6_D14_06_S15,3.1982380760048557,1.8733878460190136
NAFT18014_P1A1_D14_85_S13,2.8197442161791613,1.4685482083709966
NAFT18014_P1A2_D14_86_S16,2.4179235816487212,1.3102185816985006
NAFT18014_P1A3_D14_87_S19,2.476475519605229,1.3707855084347482
NAFT18014_P1A4_D14_88_S22,1.803746084720144,1.454391786856935
NAFT18014_P1A5_D14_89_S2,2.274356789238052,1.3087366190422165
NAFT18014_P1A6_D14_90_S5,2.5465193092755127,1.4118034186973363
NAFT18015_P1A1_D14_145_S8,4.294018309785041,1.8620712627712177
NAFT18015_P1A2_D14_146_S11,4.172184275542505,1.665435470476559
NAFT18015_P1A3_D14_147_S14,3.2728111056636457,1.3468809778826865
NAFT18015_P1A4_D14_148_S17,3.110191064951616,1.2580436446594851
NAFT18015_P1A5_D14_149_S20,3.8875721177487974,1.794155185667291
NAFT18015_P1A6_D14_150_S23,2.6587725712422268,1.5387448088397724
NAFT18012_P1B3_D14_57_S10,4.082441275423387,1.2302419606628894
NAFT18012_P2A1_D14_61_S13,6.66638608647485,2.6344191587744903
NAFT18012_P2A5_D14_65_S16,6.228958441049013,2.631712957719449
NAFT18012_P2B3_D14_69_S19,3.889565976783996,1.3627130882002116
NAFT18012_P3A1_D14_73_S22,6.2484706306087805,2.5319045316162994
NAFT18012_P3A5_D14_77_S2,6.198882975024128,2.6422529401462898
NAFT18012_P3B3_D14_81_S5,3.8187747842141513,1.3235521316718888
NAFT18013_P1B1_D14_07_S1,4.167887585001681,1.6094119747161322
NAFT18013_P1B5_D14_11_S3,3.1587689567417745,1.7980020451859895
NAFT18013_P2A3_D14_15_S6,4.1573195663605285,1.8578093756543195
NAFT18013_P2B1_D14_19_S9,5.715522593165706,2.5883372325091023
NAFT18013_P2B5_D14_23_S12,5.447699017930118,2.657263470033332
NAFT18013_P3A3_D14_27_S15,4.063037531900983,1.2534378999141484
NAFT18013_P3B1_D14_31_S18,4.014320651947875,1.3409882912947546
NAFT18013_P3B5_D14_35_S21,3.2764238806842436,1.4413253837060258
NAFT18013_P4B1_D14_43_S4,6.464413838807259,2.5334763617647518
NAFT18013_P4B5_D14_47_S7,5.8283648239228665,2.7121148912866957
NAFT18014_P1B1_D14_91_S8,2.7166237072522628,1.3471682444467055
NAFT18014_P1B5_D14_95_S11,2.774577202238006,1.4240531186012333
NAFT18014_P2A3_D14_99_S14,5.306175067145185,2.638660165245127
NAFT18014_P2B1_D14_103_S17,2.7766595719514156,1.4124594592053266
NAFT18014_P2B5_D14_107_S20,2.736420642080984,1.4805084620888866
NAFT18014_P3A3_D14_111_S23,3.6254615894109787,1.3064168609558493
NAFT18012_P1B4_D14_58_S11,4.6217995987507114,1.6491818452673734
NAFT18012_P2A2_D14_62_S14,6.685321721522823,2.3490505446489887
NAFT18012_P2A6_D14_66_S17,5.70878515263332,2.732679614732856
NAFT18012_P2B4_D14_70_S20,3.8775074140718453,1.559894105612246
NAFT18012_P3A2_D14_74_S23,7.301932729308779,2.529722666235955
NAFT18012_P3A6_D14_78_S3,5.654774808409087,2.5463454855174406
NAFT18012_P3B4_D14_82_S6,3.4022906996729683,0.9371018010061697
NAFT18013_P1B2_D14_08_S1,4.083490424220419,1.6858368966862858
NAFT18013_P1B6_D14_12_S4,3.232424605755817,1.586250206364453
NAFT18013_P2A4_D14_16_S7,3.2267391971521455,1.6385094864289884
NAFT18013_P2B2_D14_20_S10,5.9502364466375814,2.579443078295677
NAFT18013_P2B6_D14_24_S13,5.224741553747473,2.57318710457795
NAFT18013_P3A4_D14_28_S16,3.095774613983486,0.8067626947097182
NAFT18013_P3B2_D14_32_S19,3.8515020565399483,1.3111669706947926
NAFT18013_P3B6_D14_36_S22,3.180642971333015,0.8977892833130703
NAFT18013_P4A4_D14_40_S2,3.630243701742834,0.8612148681726658
NAFT18013_P4B2_D14_44_S5,6.335938101961418,2.4677389209628475
NAFT18013_P4B6_D14_48_S8,5.8880047989413375,2.6438250616379397
NAFT18014_P1B2_D14_92_S9,2.8796924974935028,1.3055159720518632
NAFT18014_P1B6_D14_96_S12,3.172890215521968,1.5395081212160613
NAFT18014_P2A4_D14_100_S15,5.334411834353375,2.7472108547964664
NAFT18014_P2B2_D14_104_S18,3.158679883392189,1.6145063383997138
NAFT18014_P2B6_D14_108_S21,3.561238883986433,1.8493765032966079
NAFT18014_P3A4_D14_112_S24,2.6828429284306905,0.8701057505668967
NAFT18014_P3B1_D14_115_S1,3.337185038221662,0.9515077426336174
NAFT18014_P3B4_D14_118_S4,3.312611957308115,0.8103971342877987
NAFT18014_P4A1_D14_121_S7,6.095917386150421,2.450698583756361
NAFT18014_P4A4_D14_124_S10,6.295549276747581,2.866295503808341
NAFT18014_P4B1_D14_127_S13,3.6197165101641353,0.9323491399611253
NAFT18014_P4B4_D14_130_S16,2.7220376140223848,0.9908500261859077
NAFT18014_P5A1_D14_133_S19,5.129777819502647,2.5080627176475185
NAFT18014_P5A4_D14_136_S22,5.129999928000791,2.6337436804625916
NAFT18014_P5B1_D14_139_S2,6.545579837155616,2.5300405104702417
NAFT18014_P5B4_D14_142_S5,6.114750035515952,2.685423694587511
NAFT18015_P1B1_D14_151_S8,3.351012662828908,1.0099528243031013
NAFT18015_P1B4_D14_154_S11,2.6932109833636275,1.0511082161114447
NAFT18015_P1B6_D14_156_S14,2.724446150435038,0.9559780998177934
NAFT18015_P2A2_D14_158_S17,3.004988271329686,1.1549725709568697
NAFT18015_P2A4_D14_160_S20,2.808996998005752,1.2019716115522692
NAFT18015_P2A6_D14_162_S23,2.7589085697021334,1.0109685263081165
NAFT18015_P2B2_D14_164_S3,6.768664853512785,2.7119647336995483
NAFT18015_P2B4_D14_166_S6,6.2612611177877096,2.87700232709937
NAFT18015_P2B6_D14_168_S9,6.367554777927437,2.9424394380181775
NAFT18015_P3A2_D14_170_S12,5.061955978589155,1.8236114969889696
NAFT18015_P3A4_D14_172_S15,4.660220514477973,2.2022996027643953
NAFT18015_P3A6_D14_174_S18,4.590114517054485,2.16416477550754
NAFT18015_P3B3_D14_176_S21,6.722126404251645,2.6793376033978897
NAFT18015_P3B5_D14_178_S24,6.142398452066164,2.8545448459556706
NAFT18012_P1B1_D14_55_S8,4.338454437920427,1.415778465306226
NAFT18012_P1B5_D14_59_S11,4.311841466315322,1.4224253662670514
NAFT18012_P2A3_D14_63_S14,6.882585827827926,2.5809183435247194
NAFT18012_P2B1_D14_67_S17,4.294768167059178,1.6504314220788596
NAFT18012_P2B5_D14_71_S20,4.567757349094613,1.6912742765018736
NAFT18012_P3A3_D14_75_S23,6.285532579514298,2.2263755840879487
NAFT18012_P3B1_D14_79_S3,3.9921194414626737,1.2068441251037925
NAFT18012_P3B5_D14_83_S6,3.3230901106798583,1.0769611565217718
NAFT18013_P1B3_D14_09_S1,3.912023955611611,1.4661923876145027
NAFT18013_P2A1_D14_13_S4,4.091208032665876,1.6213975046758011
NAFT18013_P2A5_D14_17_S7,3.489553231767103,1.6107695388930912
NAFT18013_P2B3_D14_21_S10,6.129566423956469,2.5536860853088776
NAFT18013_P3A1_D14_25_S13,4.0764950496771535,1.085139495090318
NAFT18013_P3A5_D14_29_S16,2.8556538442302006,0.7881426490038348
NAFT18013_P3B3_D14_33_S19,3.81747255569981,1.229906635925434
NAFT18013_P4A1_D14_37_S22,4.873710978607434,1.599484919494609
NAFT18013_P4A5_D14_41_S2,3.2422956302471206,0.8629553807371356
NAFT18013_P4B3_D14_45_S5,6.188149725416875,2.463434365552142
NAFT18014_P1B3_D14_93_S9,3.014124662222036,0.5749510403352547
NAFT18014_P2A1_D14_97_S12,5.416721218545104,2.584139229138089
NAFT18014_P2A5_D14_101_S15,4.945423407795217,2.683472127854497
NAFT18014_P2B3_D14_105_S18,2.4669874882495217,1.130141933125635
NAFT18014_P3A1_D14_109_S21,3.031928954052395,0.8443195004765145
NAFT18014_P3A5_D14_113_S24,3.2250992735453883,0.8362672231760285
NAFT18014_P3B2_D14_116_S1,3.3756630868048774,0.8889132832212909
NAFT18014_P3B5_D14_119_S4,3.1678135676195867,0.8370880880092276
NAFT18014_P4A2_D14_122_S7,6.442724806682511,2.609203667335318
NAFT18014_P4A5_D14_125_S10,5.289482046123885,2.5038870340473034
NAFT18014_P4B2_D14_128_S13,3.8504088338424474,0.9294244398355525
NAFT18014_P4B5_D14_131_S16,2.921577850196842,0.6519977752822896
NAFT18014_P5A2_D14_134_S19,5.231545457196155,2.4942290201106623
NAFT18014_P5A5_D14_137_S22,5.722366560407118,2.6353060192686177
NAFT18014_P5B2_D14_140_S2,6.516307955829953,2.587845880217521
NAFT18014_P5B5_D14_143_S5,6.553367821187029,2.7703544567037355
NAFT18015_P1B2_D14_152_S8,3.8996372420943515,1.334027972662546
NAFT18015_P1B5_D14_155_S11,2.5595668041612027,0.8467012647341015
NAFT18015_P2A1_D14_157_S14,3.992206983644527,1.4508230165247056
NAFT18015_P2A3_D14_159_S17,4.649924880460684,1.428319884549076
NAFT18015_P2A5_D14_161_S20,3.327010611480228,1.2112776939577552
NAFT18015_P2B1_D14_163_S23,6.189819690007928,2.505986254051099
NAFT18015_P2B3_D14_165_S3,6.6834868937477525,2.7400995056019157
NAFT18015_P2B5_D14_167_S6,5.869433749925382,2.738457533492376
NAFT18015_P3A1_D14_169_S9,5.236151982731408,2.2917479157571075
NAFT18015_P3A3_D14_171_S12,4.622650884102038,1.4437670035616268
NAFT18015_P3A5_D14_173_S15,5.118329645093147,2.2927366049889857
NAFT18015_P3B2_D14_175_S18,6.941457454876321,2.723115756777218
NAFT18015_P3B4_D14_177_S21,6.628355133517749,2.86281761183635
NAFT18015_P3B6_D14_179_S24,6.121805939285826,2.79324136478198
NAFT18012_P1B2_D14_56_S8,4.194548976974746,1.1822585085131485
NAFT18012_P1B6_D14_60_S11,4.04588903209716,1.5747250922320797
NAFT18012_P2A4_D14_64_S14,6.132303882949641,2.611257013655365
NAFT18012_P2B2_D14_68_S17,4.1433990913701235,1.530992038938769
NAFT18012_P2B6_D14_72_S20,4.450824620632093,1.632069559627352
NAFT18012_P3A4_D14_76_S23,6.210103551537207,2.6232903239759233
NAFT18012_P3B2_D14_80_S3,4.321714139476262,1.1926549216960862
NAFT18012_P3B6_D14_84_S6,3.5586235560797563,0.9905422991085704
NAFT18013_P1B4_D14_10_S1,2.907035208963174,1.6205611971339196
NAFT18013_P2A2_D14_14_S4,4.281033001753603,1.748935479534776
NAFT18013_P2A6_D14_18_S7,3.0593327394649044,1.6630427100086858
NAFT18013_P2B4_D14_22_S10,5.590286039140004,2.640543836449223
NAFT18013_P3A2_D14_26_S13,3.402753141928663,0.9127911791176961
NAFT18013_P3A6_D14_30_S16,3.4588393032963287,1.090157988595967
NAFT18013_P3B4_D14_34_S19,2.8689293515778846,0.8339040131851229
NAFT18013_P4A2_D14_38_S22,3.870593072041811,0.9719517532879683
NAFT18013_P4A6_D14_42_S2,3.777387530519195,1.040682978034585
NAFT18013_P4B4_D14_46_S5,5.816904939221919,2.7089631593496444
NAFT18014_P1B4_D14_94_S9,2.5319462788301017,1.3651886562492015
NAFT18014_P2A2_D14_98_S12,5.219073339062067,2.5477444049692153
NAFT18014_P2A6_D14_102_S15,5.18006847002832,2.7685959444018504
NAFT18014_P2B4_D14_106_S18,2.140198304363387,1.17950060268607
NAFT18014_P3A2_D14_110_S21,3.3433775335822435,1.1288067551179126
NAFT18014_P3A6_D14_114_S24,3.0764475547656156,0.8953905904900046
NAFT18013_P1A1_D14_01_rep_S12,4.000988599836964,1.6654681663448332
NAFT18013_P4A3_D14_39_rep_S13,3.5876193438164035,0.8539090157511587
NAFT18014_P3B3_D14_117_S1,3.9693958189070955,1.2711729400176939
NAFT18014_P3B6_D14_120_S2,1.1488695926876966,0.332623028960652
NAFT18014_P4A3_D14_123_S3,6.697191677641855,2.791455675553992
NAFT18014_P4A6_D14_126_S4,6.353549138793595,2.7479276159860713
NAFT18014_P4B3_D14_129_S5,2.9975340408438447,0.8065800360332412
NAFT18014_P4B6_D14_132_S6,3.9329266744205187,1.142912827130702
NAFT18014_P5A3_D14_135_S7,5.281090513897333,2.5323274180179465
NAFT18014_P5A6_D14_138_S8,4.878748590077608,2.5414152933931895
NAFT18014_P5B3_D14_141_S9,6.135890953281981,2.630851912254397
NAFT18014_P5B6_D14_144_S10,5.428192601224335,2.444055853670395
NAFT18015_P1B3_D14_153_S11,3.2825696556275332,1.0477703242740901
