statistic,source,condition,score,p_value
viper,Fibrosis stage,V1,-1.278670242709155,0.20101320280886392
viper,Fibrosis stage,V2,-1.7675450763635243,0.07713698692697735
viper,Fibrosis stage,V3,-0.9165353492280258,0.3593861757522316
viper,Fibrosis stage,V4,-1.506474503233135,0.13194540759559995
viper,Fibrosis stage,V5,-1.4445199520649172,0.1485927714957631
viper,Fibrosis stage,V6,-0.9303374724909735,0.35219638178449747
viper,Fibrosis stage,V7,0.18215234475222092,0.8554631706232254
viper,Fibrosis stage,V8,-2.235912148238589,0.025357526392388963
viper,Fibrosis stage,V9,-0.9965559879786123,0.3189800780930796
viper,Fibrosis stage,V10,-0.35865643730742514,0.7198521209690204
viper,Fibrosis stage,V11,-1.557227708886871,0.11941643188098779
viper,Fibrosis stage,V12,1.6856296788337053,0.09186714908279961
viper,Fibrosis stage,V13,1.1857708798416886,0.23571279438679105
viper,Fibrosis stage,V14,-0.03536479682302226,0.9717888552082048
viper,Fibrosis stage,V15,2.50667157243507,0.012187389369730796
viper,Fibrosis stage,V16,2.1380933005257856,0.032509171572139756
viper,Fibrosis stage,V17,1.5204768941208706,0.1283911616200248
viper,Fibrosis stage,V18,-1.5966192854355707,0.11035059737325238
viper,Fibrosis stage,V19,1.072554374231274,0.28347110520146374
viper,Fibrosis stage,V20,0.3959740856678695,0.6921241456805366
viper,Fibrosis stage,V21,-0.981602579873292,0.32629567601834986
viper,Fibrosis stage,V22,-0.2830903477104197,0.7771075805006601
viper,Fibrosis stage,V23,1.4940098613062232,0.13517304182307255
viper,Fibrosis stage,V24,-0.5776001775146017,0.5635340870706147
viper,Fibrosis stage,V25,-2.342381886923502,0.019161097777271083
viper,Fibrosis stage,V26,-1.2748389217777496,0.2023662612412584
viper,Fibrosis stage,V27,1.1139321350829194,0.2653083020646618
viper,Fibrosis stage,V28,-1.281295825128109,0.20008977874346778
viper,Fibrosis stage,V29,-0.8470234510600173,0.39698205026725986
viper,Fibrosis stage,V30,1.6442690884194966,0.1001206314878788
viper,Fibrosis stage,V31,-0.815976893471439,0.4145133514096828
viper,Fibrosis stage,V32,-2.292595859418238,0.021871282989796414
viper,Fibrosis stage,V33,-1.84619347571401,0.06486411794781466
viper,Fibrosis stage,V34,-3.1043011122083106,0.0019072911193549027
viper,Fibrosis stage,V35,-2.213515274061387,0.0268621413804079
viper,Fibrosis stage,V36,2.010979104584324,0.04432766386051651
viper,Fibrosis stage,V37,2.8027942679962714,0.005066197530884856
viper,Fibrosis stage,V38,2.8574341017523563,0.004270813051458165
viper,Fibrosis stage,V39,-0.38632281353920084,0.6992576067396838
viper,Fibrosis stage,V40,0.48548275812462705,0.6273339403268551
viper,Fibrosis stage,V41,0.14175949592871395,0.8872699784536299
viper,Fibrosis stage,V42,0.3608368924491015,0.7182213819808693
viper,Fibrosis stage,V43,-2.490711078417768,0.012748774375221532
viper,Fibrosis stage,V44,0.11404292177352938,0.9092037687204961
viper,Fibrosis stage,V45,1.276595764453873,0.20174499799366963
viper,Fibrosis stage,V46,1.4379339666573345,0.15045279102663672
viper,Fibrosis stage,V47,-2.040899602070492,0.04126080738677641
viper,Fibrosis stage,V48,-0.5210373362806738,0.6023407623350262
viper,Fibrosis stage,V49,-1.2540378426080971,0.2098282509810805
viper,Fibrosis stage,V50,0.2033514315104395,0.8388603586623944
viper,Fibrosis stage,V51,-1.3960940995822364,0.16268616041079073
viper,Fibrosis stage,V52,-1.659870483296868,0.09694051056411866
viper,Fibrosis stage,V53,2.217920881000626,0.026560227496987523
viper,Fibrosis stage,V54,-2.676934374870494,0.0074299186203189834
viper,Fibrosis stage,V55,0.3607140551673797,0.7183132166368281
viper,Fibrosis stage,V56,-1.6861701670349758,0.0917630282371198
viper,Fibrosis stage,V57,-2.4672018164293066,0.013617358413550596
viper,Fibrosis stage,V58,-1.6317289213485973,0.10273660462066725
viper,Fibrosis stage,V59,2.8942716215869027,0.003800392541381779
viper,Fibrosis stage,V60,2.5651908800653076,0.010311905921071543
viper,Fibrosis stage,V61,2.9165771998861105,0.0035389513215952715
viper,Fibrosis stage,V62,3.0978445938596857,0.0019493362125637685
viper,Fibrosis stage,V63,0.538215612078721,0.5904282029957502
viper,Fibrosis stage,V64,0.5030071947604002,0.6149592137324837
viper,Fibrosis stage,V65,1.3640220767342306,0.17256061755808996
viper,Fibrosis stage,V66,2.2043371166788495,0.027500644485058356
viper,Fibrosis stage,V67,-2.1688909783909054,0.030090961833553587
viper,Fibrosis stage,V68,1.4703768983398957,0.14145970457295579
viper,Fibrosis stage,V69,-0.562184411373498,0.5739903812285038
viper,Fibrosis stage,V70,2.890347829459083,0.003848157841784066
viper,Fibrosis stage,V71,2.5757163144698154,0.0100032680616361
viper,Fibrosis stage,V72,3.49737707318475,0.00046985719634094633
viper,Fibrosis stage,V73,-0.5553976388326821,0.5786227072656438
viper,Fibrosis stage,V74,-1.8678495210850226,0.06178304863287299
viper,Fibrosis stage,V75,2.518079791042272,0.011799658689643309
viper,Fibrosis stage,V76,2.648364527201482,0.008088225926679484
viper,Fibrosis stage,V77,-2.7490733833176666,0.0059764004511013045
viper,Fibrosis stage,V78,-1.9790683615182587,0.04780831003435603
viper,Fibrosis stage,V79,0.06562760593959516,0.9476743101247153
viper,Fibrosis stage,V80,0.8674759586709738,0.38568127880227515
viper,Fibrosis stage,V81,2.5119883319031815,0.01200530580004634
viper,Fibrosis stage,V82,2.842615297961732,0.004474504349290098
viper,Fibrosis stage,V83,2.8732133300459997,0.004063196446029679
viper,Fibrosis stage,V84,2.5500884093868033,0.01076956048142697
viper,Fibrosis stage,V85,2.5951301989205917,0.009455509292939021
viper,Fibrosis stage,V86,3.7826453105420663,0.00015517045210824816
viper,Fibrosis stage,V87,-1.72971755881941,0.08368074998036953
viper,Fibrosis stage,V88,-1.6016522777112556,0.10923252359922868
viper,Fibrosis stage,V89,-0.4978107737657967,0.6186174215003337
viper,Fibrosis stage,V90,0.25193267625509425,0.8010931020045411
viper,Fibrosis stage,V91,-0.6317799464240487,0.5275306792047216
viper,Fibrosis stage,V92,-0.8943220888330962,0.37114958479917554
viper,Fibrosis stage,V93,-0.5939187708021507,0.5525664436791362
viper,Fibrosis stage,V94,-1.5781119589359567,0.11453989130639493
viper,Fibrosis stage,V95,0.26770636219413224,0.7889253521921146
viper,Fibrosis stage,V96,-1.3903320134752768,0.16442808087429187
viper,Fibrosis stage,V97,-2.1773982224565076,0.029450868199920283
viper,Fibrosis stage,V98,0.9578523026249077,0.3381372409555737
viper,Fibrosis stage,V99,0.37452188630683514,0.7080160765436736
viper,Fibrosis stage,V100,-2.4693228260056563,0.013536903445219791
viper,Fibrosis stage,V101,2.1090742670880007,0.03493817164281971
viper,Fibrosis stage,V102,2.9797717311229444,0.002884632556145543
viper,Fibrosis stage,V103,0.5408345012276872,0.5886216600570788
viper,Fibrosis stage,V104,-0.34302040053514204,0.7315831128211967
viper,Fibrosis stage,V105,-2.071313943088444,0.03832946711487001
viper,Fibrosis stage,V106,-1.9199935489544522,0.05485871426442896
viper,Fibrosis stage,V107,2.1807896050271567,0.02919898178374384
viper,Fibrosis stage,V108,2.62568909934535,0.008647376128152957
viper,Fibrosis stage,V109,2.2288358369126313,0.025824829541659235
viper,Fibrosis stage,V110,1.124382422259177,0.260850825790006
viper,Fibrosis stage,V111,3.5830751334441575,0.00033957288344850875
viper,Fibrosis stage,V112,-0.023294696461741978,0.981415202177832
viper,Fibrosis stage,V113,3.9523373888643243,7.7391518779193e-05
viper,Fibrosis stage,V114,-2.4649789360572862,0.013702130635724497
viper,Fibrosis stage,V115,-1.0393922532298308,0.29862234540441857
viper,Fibrosis stage,V116,1.494556306462302,0.1350302765773428
viper,Fibrosis stage,V117,3.169162162101131,0.0015287907267017603
viper,Fibrosis stage,V118,2.772957892874994,0.005554930795413885
viper,Fibrosis stage,V119,2.616388540075443,0.008886537224899713
viper,Fibrosis stage,V120,2.971180416821042,0.0029665744900754134
viper,Fibrosis stage,V121,-0.03758735247431117,0.9700166920603546
viper,Fibrosis stage,V122,0.5088845859213552,0.6108331249268323
viper,Fibrosis stage,V123,2.233303984710951,0.02552890493292918
viper,Fibrosis stage,V124,2.9768354704215882,0.0029124025890435584
viper,Fibrosis stage,V125,-2.480816492502629,0.013108183723418182
viper,Fibrosis stage,V126,-2.202406551237402,0.027636603535470764
viper,Fibrosis stage,V127,-1.3649912427445485,0.17225580245075106
viper,Fibrosis stage,V128,-0.006900914161835008,0.9944939108372759
viper,Fibrosis stage,V129,1.9457907148926876,0.05167988442764808
viper,Fibrosis stage,V130,2.8792682022294316,0.0039859919394271675
viper,Fibrosis stage,V131,1.6263982813611855,0.10386495621376014
viper,Fibrosis stage,V132,2.5637384882095136,0.010355153299255182
viper,Fibrosis stage,V133,2.596091662469517,0.009429090715059069
viper,Fibrosis stage,V134,-1.741624717750208,0.08157413328987474
viper,Fibrosis stage,V135,-1.8818476832095545,0.0598566994721497
viper,Fibrosis stage,V136,-2.1893545638061815,0.028571079361669423
viper,Fibrosis stage,V137,-0.4987112602275894,0.6179828108055323
viper,Fibrosis stage,V138,0.9074961001952522,0.36414451082732224
viper,Fibrosis stage,V139,-1.3789262063608514,0.16791750722987223
viper,Fibrosis stage,V140,-1.3511598881573812,0.17664422065185853
viper,Fibrosis stage,V141,-1.6093165482007898,0.10754714244590607
viper,Fibrosis stage,V142,-1.0054405400227515,0.3146847672120485
viper,Fibrosis stage,V143,-0.36631052223390775,0.7141333788431623
viper,Fibrosis stage,V144,0.8941769949678638,0.3712271988443243
viper,Fibrosis stage,V145,-0.8894230680402548,0.3737757519908216
viper,Fibrosis stage,V146,0.28895632909495944,0.7726147969553072
viper,Fibrosis stage,V147,0.5627824290190178,0.5735830465720758
viper,Fibrosis stage,V148,-1.6219588198570358,0.10481216579133279
viper,Fibrosis stage,V149,1.1194608386769915,0.2629435887451218
viper,Fibrosis stage,V150,3.02465926058802,0.0024891338227849623
viper,Fibrosis stage,V151,-0.31260401322528597,0.7545815287288354
viper,Fibrosis stage,V152,-0.8787275595426882,0.379549011993911
viper,Fibrosis stage,V153,-0.15106077714055666,0.8799277726826917
viper,Fibrosis stage,V154,-1.2676253222805542,0.20493178459015765
viper,Fibrosis stage,V155,2.081041558087681,0.037430102346954916
viper,Fibrosis stage,V156,1.888487554750604,0.058960527113541994
viper,Fibrosis stage,V157,2.3682279275279323,0.017873520939041446
viper,Fibrosis stage,V158,1.0515161181315922,0.29302161059184495
viper,Fibrosis stage,V159,2.3262313514952404,0.020006211992807003
viper,Fibrosis stage,V160,-0.18840559230931186,0.8505587161720283
viper,Fibrosis stage,V161,2.1793271207197185,0.029307375877092024
viper,Fibrosis stage,V162,-1.8040810737464321,0.07121859825311073
viper,Fibrosis stage,V163,-1.9465311942799846,0.05159096458872734
viper,Fibrosis stage,V164,2.522625064658096,0.011648252188451114
viper,Fibrosis stage,V165,2.143611771125946,0.03206400682153234
viper,Fibrosis stage,V166,2.818368076398603,0.004826844173883152
viper,Fibrosis stage,V167,-0.7096684009173146,0.47790979179661147
viper,Fibrosis stage,V168,3.1250576758638298,0.0017777020069467432
viper,Fibrosis stage,V169,2.2945330394841994,0.021759899513147555
viper,Fibrosis stage,V170,2.9541492519969257,0.003135323312184877
viper,Fibrosis stage,V171,-1.231363769478968,0.21818684119932932
viper,Fibrosis stage,V172,-0.4941148765572297,0.6212250521137923
viper,Fibrosis stage,V173,2.694851046290771,0.007042010365445292
viper,Fibrosis stage,V174,2.2962526188248047,0.021661441516848706
viper,Fibrosis stage,V175,-1.677762072987047,0.09339355615697134
viper,Fibrosis stage,V176,-1.4700650469258172,0.14154413776840813
viper,Fibrosis stage,V177,0.7773322869083283,0.4369627508949178
viper,Fibrosis stage,V178,-0.1300642870179657,0.8965155648893344
viper,Fibrosis stage,V179,2.390251369768637,0.0168368447474703
viper,NAS,V1,0.8588666648160636,0.39041408263741983
viper,NAS,V2,-1.2783737691757169,0.20111766835771835
viper,NAS,V3,0.24413778786907286,0.807124107327111
viper,NAS,V4,-1.3621635147509137,0.1731462873445337
viper,NAS,V5,-2.251110264672956,0.024378554454376467
viper,NAS,V6,-0.25101376599484587,0.8018034661305924
viper,NAS,V7,1.1579179727031172,0.2468975123290498
viper,NAS,V8,0.017287657689248736,0.9862071318706325
viper,NAS,V9,-1.460135765401391,0.14425276480645804
viper,NAS,V10,-1.1872052874161492,0.2351466558013301
viper,NAS,V11,0.9164004605416964,0.35945689387189433
viper,NAS,V12,3.239383032665561,0.001197885873196197
viper,NAS,V13,1.7574177382534621,0.07884663202484828
viper,NAS,V14,1.5967328978733923,0.11032525914216022
viper,NAS,V15,2.233446190934262,0.025519535010756843
viper,NAS,V16,3.169351179663257,0.0015277967537956222
viper,NAS,V17,2.0930597277934435,0.03634382312764392
viper,NAS,V18,-0.9428385478787954,0.3457634912957795
viper,NAS,V19,2.116719596633574,0.03428365266182249
viper,NAS,V20,1.2424210415349388,0.2140812561597465
viper,NAS,V21,-0.7734313348950246,0.4392671513756394
viper,NAS,V22,-0.6402475760854112,0.5220116568525576
viper,NAS,V23,2.0452083165681354,0.04083432492684498
viper,NAS,V24,-0.3891167059374069,0.6971898158935153
viper,NAS,V25,-2.3678187807061355,0.01789329785596745
viper,NAS,V26,-2.652445007618971,0.007991114395755904
viper,NAS,V27,1.5480369476257827,0.12161340115452843
viper,NAS,V28,-3.0387230803568617,0.002375831317514159
viper,NAS,V29,-1.8567975671466985,0.0633399599862626
viper,NAS,V30,0.17719552628684918,0.859354809568512
viper,NAS,V31,0.6181596221809265,0.5364701235006284
viper,NAS,V32,1.9343181633818896,0.05307402137507299
viper,NAS,V33,-0.2738759685437966,0.7841799400560258
viper,NAS,V34,-2.8926501368010418,0.0038200655793686933
viper,NAS,V35,-3.1364918326082205,0.0017098219911181902
viper,NAS,V36,1.0456321690013097,0.29573089103604455
viper,NAS,V37,1.3188105852987473,0.18723244454018845
viper,NAS,V38,2.019774360130761,0.043406797851135215
viper,NAS,V39,-2.0914363944628893,0.036488962572543374
viper,NAS,V40,-0.49284740671228233,0.6221204110844167
viper,NAS,V41,2.378137883820915,0.01740031803638272
viper,NAS,V42,2.3363874362392285,0.019471058156655317
viper,NAS,V43,-1.0435666359584777,0.2966859358948434
viper,NAS,V44,2.7189014951679384,0.006549911079671106
viper,NAS,V45,3.630365050052363,0.0002830206508120905
viper,NAS,V46,0.9821859177254828,0.326008263935765
viper,NAS,V47,-1.6224201731721741,0.10471341262768027
viper,NAS,V48,-0.6489132279776991,0.516394464125939
viper,NAS,V49,-0.8175765422773986,0.41359902658507436
viper,NAS,V50,1.3347524352861684,0.18195738568460706
viper,NAS,V51,-3.028005251322989,0.002461738094366691
viper,NAS,V52,-2.3676052623247767,0.017903626298206035
viper,NAS,V53,1.5824544553571989,0.11354586170090887
viper,NAS,V54,-1.6182985738101665,0.1055982679110329
viper,NAS,V55,0.5975188517970028,0.5501610244796574
viper,NAS,V56,-0.15430494855126098,0.8773692956690562
viper,NAS,V57,-3.5861234990555646,0.00033563005649421546
viper,NAS,V58,-2.1420304543745172,0.03219103145435394
viper,NAS,V59,2.4980629893098234,0.012487400301440464
viper,NAS,V60,0.4839059019503709,0.628452651599086
viper,NAS,V61,1.523640966874892,0.12759842358082293
viper,NAS,V62,0.33289045738529,0.7392169729364964
viper,NAS,V63,-1.1652264228514115,0.24392735277709718
viper,NAS,V64,-0.42804620586889214,0.6686174804644669
viper,NAS,V65,3.4630676217818808,0.0005340541603066946
viper,NAS,V66,0.7612197171078005,0.446525843301623
viper,NAS,V67,-2.0175065272985737,0.043642680549533165
viper,NAS,V68,2.0209811594464484,0.043281715462597764
viper,NAS,V69,1.5923346903566749,0.11130952223757723
viper,NAS,V70,2.610883844833504,0.009030856152219532
viper,NAS,V71,0.4719179091676957,0.6369853843508892
viper,NAS,V72,1.3264068915610394,0.18470495730270736
viper,NAS,V73,-1.3357631288976661,0.1816267080039333
viper,NAS,V74,-1.163832311669795,0.2444919748997818
viper,NAS,V75,-1.276724522295164,0.20169952077427797
viper,NAS,V76,1.3826779975812575,0.16676362127024125
viper,NAS,V77,-2.3713224157297583,0.017724561936768274
viper,NAS,V78,-2.082881716989571,0.0372620065235285
viper,NAS,V79,-2.2116662506012057,0.026989734083165944
viper,NAS,V80,0.8507549196478291,0.39490550841267025
viper,NAS,V81,0.5367181210368882,0.5914623369667881
viper,NAS,V82,2.106347296180813,0.03517419577595378
viper,NAS,V83,1.8132400004807199,0.06979481282417001
viper,NAS,V84,2.299583258627415,0.021471841458663144
viper,NAS,V85,1.884062628614124,0.05955650450855121
viper,NAS,V86,2.7894163491905988,0.0052803135081272955
viper,NAS,V87,-2.1189108828135823,0.03409799905712612
viper,NAS,V88,-3.0330996963327133,0.002420556172900462
viper,NAS,V89,-2.065488696109375,0.038876784000572664
viper,NAS,V90,-1.4936706935661772,0.13526171203996135
viper,NAS,V91,-0.5271802746058966,0.5980684053193588
viper,NAS,V92,-1.7529314910982097,0.0796137673625595
viper,NAS,V93,-1.2345198826922787,0.2170092424997106
viper,NAS,V94,-1.8113931436924726,0.07008001654447295
viper,NAS,V95,1.2134582153922489,0.2249546805259641
viper,NAS,V96,-1.8394898485822209,0.06584316965729446
viper,NAS,V97,-1.9371551694871834,0.052726378429512916
viper,NAS,V98,0.6207640606930758,0.5347548730654613
viper,NAS,V99,-0.2606750141533534,0.7943431358584391
viper,NAS,V100,-3.403608212408048,0.0006650206556319068
viper,NAS,V101,1.2971170660367237,0.19459091036880857
viper,NAS,V102,0.5984317214862546,0.5495519049346616
viper,NAS,V103,0.8539242005708845,0.3931469895595265
viper,NAS,V104,-1.2897862515569984,0.1971248827516478
viper,NAS,V105,-1.7514822911756143,0.07986286906072554
viper,NAS,V106,-2.24072229968707,0.02504406871063222
viper,NAS,V107,-0.42239523474388047,0.6727365555230327
viper,NAS,V108,1.6773084820566666,0.09348217478788551
viper,NAS,V109,1.1894803408273835,0.2342507025624353
viper,NAS,V110,-0.6195968543604143,0.5355232382610251
viper,NAS,V111,1.417138866132504,0.15644233120462048
viper,NAS,V112,0.6353494132566979,0.5252005529193383
viper,NAS,V113,1.5097178484727682,0.13111543496454853
viper,NAS,V114,-2.4728599199644203,0.013403666941062476
viper,NAS,V115,-0.42962128603561195,0.667471150455649
viper,NAS,V116,2.706828952345998,0.006792924670470355
viper,NAS,V117,0.21063595330338783,0.8331713549886728
viper,NAS,V118,0.8878060829786832,0.37464507026684907
viper,NAS,V119,1.1619124166779524,0.24527104295594937
viper,NAS,V120,1.768664432252777,0.0769498912276183
viper,NAS,V121,-1.7361498226929208,0.08253734679202661
viper,NAS,V122,-0.5949402602951547,0.5518834042937981
viper,NAS,V123,1.624327053014,0.1043060264618956
viper,NAS,V124,1.165248621506421,0.24391836962253927
viper,NAS,V125,-2.3628293274169603,0.01813601969551885
viper,NAS,V126,-1.3631394909556105,0.17283855286617059
viper,NAS,V127,-1.1460213568017243,0.2517863154023796
viper,NAS,V128,-0.24554887920526855,0.8060314661727862
viper,NAS,V129,1.2607281989522627,0.20740679055885974
viper,NAS,V130,2.0149525453996318,0.04390962154895425
viper,NAS,V131,0.0005782623993648089,0.9995386133851677
viper,NAS,V132,-0.052804168367764207,0.957887940259146
viper,NAS,V133,1.4119771412170934,0.15795669194332168
viper,NAS,V134,-1.525097497953352,0.1272347812052695
viper,NAS,V135,-1.7049393914210478,0.0882057287340811
viper,NAS,V136,-2.660340453906168,0.007806170102681082
viper,NAS,V137,-1.2449475684879723,0.21315102384075701
viper,NAS,V138,-0.42531250445103386,0.670608879208367
viper,NAS,V139,-2.6330296742788613,0.008462695319001004
viper,NAS,V140,-1.7673756582389204,0.07716533673743456
viper,NAS,V141,-2.029429661585629,0.04241454650250143
viper,NAS,V142,-1.83420531306204,0.06662352306210023
viper,NAS,V143,-0.6859487298917716,0.4927454397150055
viper,NAS,V144,-0.9631228354469468,0.3354858832918096
viper,NAS,V145,-2.4656864100083205,0.013675099835378202
viper,NAS,V146,1.2448115313198873,0.21320103640426555
viper,NAS,V147,-2.022886765259749,0.04308482335731178
viper,NAS,V148,-2.6791737059368157,0.00738040956025508
viper,NAS,V149,-1.4157393887786833,0.15685182139823312
viper,NAS,V150,2.1057012301040365,0.035230312921649735
viper,NAS,V151,0.5648525190948154,0.572174081315011
viper,NAS,V152,-0.6271497728198022,0.5305610635744895
viper,NAS,V153,1.2498148788506813,0.21136717957533982
viper,NAS,V154,-3.116590931336905,0.0018295524741208308
viper,NAS,V155,0.35357591830394763,0.7236567244071338
viper,NAS,V156,0.2690611457911802,0.7878826293687553
viper,NAS,V157,0.7008652391810257,0.4833871194411443
viper,NAS,V158,-0.5560920490642454,0.5781479301967062
viper,NAS,V159,-0.01692718837787548,0.9864947026833836
viper,NAS,V160,-0.6455993706662513,0.518538845023256
viper,NAS,V161,2.539100483152085,0.01111378980560849
viper,NAS,V162,-2.0967125145838814,0.03601903201013773
viper,NAS,V163,-1.4464444897922046,0.14805257094215102
viper,NAS,V164,2.7392580559595827,0.006157801908555483
viper,NAS,V165,0.18011360877033128,0.8570633790721063
viper,NAS,V166,2.033738785676147,0.04197793937313407
viper,NAS,V167,-1.1482731464183673,0.25085582117722366
viper,NAS,V168,-0.18913886043535277,0.8499839849010602
viper,NAS,V169,0.30909016464509637,0.7572529406034665
viper,NAS,V170,0.9444723086248431,0.34492834601890954
viper,NAS,V171,-0.8118503479420793,0.4168775080079556
viper,NAS,V172,-1.1435166729375326,0.2528241362795097
viper,NAS,V173,1.1553116775760326,0.24796281561850297
viper,NAS,V174,0.1475960557736435,0.8826615680446179
viper,NAS,V175,-1.6076325656743102,0.10791567551719038
viper,NAS,V176,-2.7113559873348025,0.006700864210781485
viper,NAS,V177,-1.0013962601619353,0.3166352714289561
viper,NAS,V178,-0.5710540861216712,0.5679629804939448
viper,NAS,V179,1.8329001103376454,0.06681742735345013
